Periode,Total Aset (Jutaan Rp),Kredit yang Diberikan (Jutaan Rp),Laba_Bersih,Dana Pihak Ketiga (Giro+Tab+Dep),Harga_Close
2018-02-01,745.427.454,464.520.336,3.262.202,585.843.006,3783.029296875
2018-01-01,739.642.864,461.823.902,1.989.520,584.367.593,3544.313232421875
2017-12-01,734.784.203,467.619.558,22.206.163,581.183.496,3293.46044921875
2017-11-01,729.300.637,443.472.191,20.487.122,582.049.448,3438.293701171875
2017-10-01,735.750.538,438.450.997,18.357.768,580.612.689,3273.029296875
2017-09-01,725.518.013,439.883.595,16.158.709,574.470.826,3055.364501953125
2017-08-01,724.395.592,436.869.744,14.383.980,574.713.158,3051.333740234375
2017-07-01,720.392.993,434.407.239,12.447.630,575.037.130,2926.37841796875
2017-06-01,723.875.801,433.605.950,10.115.020,572.310.343,2765.1455078125
2017-05-01,693.411.658,429.129.959,8.328.698,553.634.736,2861.88427734375
2017-04-01,685.387.425,421.052.481,6.484.502,547.152.299,2648.41162109375
2017-03-01,674.303.286,408.909.629,4.668.383,533.179.499,2480.385498046875
2017-02-01,672.313.647,403.457.715,3.142.764,533.865.849,2468.384033203125
2017-01-01,663.805.342,401.174.415,1.928.596,527.843.251,2480.385498046875
2016-12-01,662.620.439,416.280.335,19.834.324,530.165.317,2320.360595703125
2016-11-01,650.458.961,389.976.449,18.569.320,518.078.290,2460.281494140625
2016-10-01,642.515.525,385.021.788,16.735.706,509.813.745,2500.092529296875
2016-09-01,646.704.822,386.246.307,14.648.033,493.115.283,2388.62255859375
2016-08-01,634.719.255,381.913.248,13.425.559,504.636.729,2368.717529296875
2016-07-01,622.284.056,378.142.517,11.591.425,495.973.523,2105.969482421875
2016-06-01,612.971.304,387.087.694,9.245.823,490.615.122,2098.007080078125
2016-05-01,605.745.418,379.957.998,7.617.259,482.842.499,2078.101806640625
2016-04-01,592.088.054,378.332.792,5.814.510,472.520.929,2100.87158203125
2016-03-01,590.832.305,373.776.427,4.218.657,470.471.110,2116.667724609375
2016-02-01,592.077.681,377.387.206,2.905.193,475.296.042,2089.025146484375
2016-01-01,583.816.752,376.838.859,1.649.407,471.676.290,2100.87158203125
2015-12-01,574.353.020,371.818.951,16.635.391,462.424.965,2092.973876953125
2015-11-01,574.353.020,371.818.951,16.635.391,462.424.965,2029.0496826171875
2015-10-01,562.038.734,367.670.339,14.695.301,457.763.163,1887.4886474609375
2015-09-01,573.166.358,364.920.826,12.919.541,462.296.165,1977.9310302734375
2015-08-01,569.985.436,358.988.534,11.724.925,426.401.443,2060.508544921875
2015-07-01,564.430.586,350.242.816,10.025.134,461.330.926,2123.424072265625
2015-06-01,560.246.432,347.099.638,8.239.726,455.023.904,2221.73095703125
2015-05-01,549.832.933,342.177.429,6.839.635,448.336.355,2119.49169921875
2015-04-01,546.361.243,339.048.775,5.230.451,444.446.888,2316.497802734375
2015-03-01,545.743.243,355.611.308,3.788.379,445.123.198,2203.2119140625
